#### Detection matrix for the first detected planet #####
####
#### Rows correspond to period and columns correspond to radius
#### The values provided represent the average probability of detection for each bin 
#### Radius ranges in log space from log10(.5) to log10(16) in units of Earth radii 
#### Period ranges in log space from log10(.5) to log10(500) in units of days     
####
####
"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	0.116104122285997	0.129426946671423	0.143341499248947	0.157715584902016	0.172402541566822	0.18721320145766	0.202003091754966	0.216646432709596	0.230965752558453	0.244930077836522	0.258380978310646	0.271242498855498	0.283515727183033	0.295185357952736	0.306201839873362	0.316588353919913	0.326286472617426	0.335347920922037	0.343693143605178	0.351395415655958	0.358402944236139	0.364702849413965	0.370326097619502	0.375233935482538	0.37947443621954	0.383074136486523	0.38605767806321	0.388519542246763	0.390507587865293	0.392067180872409	0.393284534528813	0.394203880434896	0.394888995252766	0.395372077908388	0.395725464214332	0.395969729299446	0.396137041073265	0.396247518822369	0.396322942395424	0.396373836571687	0.396405632838247	0.396428728651496	0.396446473357543	0.396458035762244	0.396466286507409	0.396471931561022	0.396475997790319	0.396478547241542	0.396479532501878	0.396480184834837	0.396480397323288	0.396480482410389	0.396480501321211	0.396480507881992	0.396480509110029	0.396480509256551	0.396480509281732	0.396480509286374	0.396480509286448	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459	0.396480509286459
"2"	0.105035729448045	0.117479379831585	0.130544135573457	0.144113778874574	0.158043199480947	0.172177657508428	0.186399077245872	0.20053531230268	0.214405637190734	0.227998408712775	0.241101223127114	0.25370702890949	0.265755688969517	0.277236309478749	0.288039417531138	0.298248751788485	0.307841551300275	0.316771026120403	0.325052829868924	0.332681460544531	0.339654094808919	0.345939317422287	0.351576815638062	0.356538166412718	0.360828420572821	0.364511069592602	0.367591108830841	0.37015150886815	0.37221004583356	0.373853783027737	0.375148946757605	0.376128014872768	0.376857936080253	0.377395445090456	0.377782271123247	0.378053638914254	0.378235072803917	0.378363851201183	0.378448169645378	0.378505807375412	0.378542298688509	0.378568545513254	0.378586945043698	0.378600205283513	0.378609242011605	0.378616739024134	0.37862113989918	0.378624183554753	0.378625502099172	0.378626351815091	0.378626680117227	0.378626810046173	0.378626857694945	0.378626868899365	0.378626871087796	0.378626871507876	0.378626871575484	0.378626871581377	0.378626871581662	0.378626871581708	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709	0.378626871581709
"3"	0.0949164230457515	0.106510616971719	0.118754670224942	0.131538930878043	0.144714541108501	0.158217581875671	0.171793444686348	0.185396759994436	0.198814337140895	0.212008707414245	0.224776496806137	0.23711217864831	0.248906675206209	0.260150413334737	0.270815199502034	0.280839432881006	0.2902830890527	0.29908386727058	0.307279883212347	0.314833813380355	0.321776685232166	0.32804589054641	0.333685648337478	0.338677271831565	0.343036255547108	0.346782238333946	0.349945530490357	0.352575143990525	0.354740537804637	0.356450685891469	0.357809156945453	0.358858997715243	0.359650192674628	0.360231384051148	0.36065208748625	0.360950613579013	0.361158814722312	0.36129975974223	0.361395669245247	0.361459105872985	0.361501833704577	0.361531442718649	0.361552025541496	0.361566375358615	0.361577384995957	0.361585175423995	0.36159014790675	0.361593476691801	0.361595617491972	0.361596647122436	0.361597149574888	0.361597317735997	0.361597379407466	0.361597402804534	0.361597407234234	0.361597408153091	0.361597408260788	0.361597408272153	0.361597408273084	0.361597408273165	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168	0.361597408273168
"4"	0.0856917305438933	0.0964270215106263	0.107843065722701	0.119844812969468	0.132326596274477	0.145127254405367	0.158117915057302	0.171180683520335	0.184133120771099	0.196912779971719	0.209348205103171	0.221383328892586	0.232923053430503	0.243933871956613	0.254390117710272	0.264262063964041	0.273577094684057	0.282231626337773	0.290337742515902	0.297818962819873	0.304662366000291	0.310939778309154	0.316574433960489	0.321586070924216	0.325995987990074	0.329806430010464	0.333037299644961	0.335745413653186	0.33797587228444	0.339779824932301	0.34121036434939	0.34232005900146	0.343165289711958	0.343794024054719	0.344256572474171	0.344582046755594	0.34481293970331	0.34497147676856	0.345081347477733	0.345152377056118	0.345200467531268	0.345233455266184	0.345257129910129	0.345272987128322	0.345285173691904	0.345293418550425	0.34529976772384	0.345303668932013	0.345305909587707	0.345307452287898	0.345308049290287	0.345308340346879	0.345308426524827	0.345308464162037	0.345308472332137	0.345308475138053	0.345308475378567	0.345308475410979	0.345308475418796	0.345308475419295	0.345308475419328	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329	0.345308475419329
"5"	0.0772590976169496	0.0872004334499316	0.0978525196178648	0.10908731326868	0.120835517916839	0.132953194897126	0.145336182274417	0.157852792499449	0.170329092900312	0.182677036194264	0.194760542625058	0.206479946091846	0.217741622369039	0.228543640019595	0.238836289403507	0.248514476608667	0.257657303022582	0.266241024090226	0.274223614269905	0.281612294977047	0.288423267242998	0.294640710869788	0.300256685062113	0.305274281009345	0.309728753845883	0.313576919429228	0.31689177071745	0.319664423031112	0.321967108600896	0.323849938607004	0.325344285997168	0.326523723165822	0.327421218471644	0.328102771978758	0.328599046393598	0.328959470308595	0.329212549950668	0.329391070601676	0.329511516455504	0.329592913104528	0.329648355674911	0.329686377755136	0.329712328785968	0.329730170369794	0.329742633359137	0.329752657638417	0.329759277385011	0.329764005748495	0.329766902615974	0.329768815598312	0.329769581009422	0.329770013121965	0.329770163639531	0.329770212576924	0.329770226067896	0.329770228731565	0.329770229048289	0.329770229163287	0.329770229175632	0.329770229176629	0.329770229176692	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696	0.329770229176696
"6"	0.0695833128744062	0.0787679253993291	0.0886404721854596	0.0991450037662046	0.110181346249082	0.12166041727623	0.133406877720704	0.145335972056186	0.157350548902501	0.16928823229813	0.181001224868857	0.192389455937676	0.203406507499904	0.213971145741352	0.224040871424248	0.233565967248166	0.242565237243132	0.250986844204856	0.258864086526508	0.266163412790577	0.27290575355334	0.279063206962783	0.284667552000937	0.289717981441402	0.294163405924034	0.298070318928632	0.301434761414982	0.304268490582027	0.306652881968465	0.308607409091025	0.310170505470699	0.311410356146486	0.312369397329226	0.313091749076279	0.313632749223324	0.31402420141483	0.314303440253957	0.314500742072342	0.314636720833072	0.314728382907429	0.314792371861695	0.314833914541607	0.314861920173102	0.314882449046074	0.314896881101006	0.314907283694201	0.314914977546996	0.31492009915598	0.314923628964634	0.314925654268769	0.314926804117807	0.314927321303541	0.314927559228182	0.314927626915472	0.314927648493377	0.314927656951619	0.31492765827892	0.31492765840998	0.314927658428281	0.314927658429621	0.314927658429726	0.314927658429731	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732	0.314927658429732
"7"	0.0626275945785114	0.0710692828180449	0.0802267796805312	0.0900189753699401	0.100338948396871	0.111161784812985	0.122312494968728	0.133707591621545	0.145199223561054	0.156659509996591	0.168007260169335	0.179095109594987	0.189828368614387	0.20015590677527	0.210014435143052	0.21937283176653	0.228210010718259	0.236490160045847	0.244245668072795	0.251450264422785	0.258116603983377	0.264225620716975	0.269803918819327	0.274836277318306	0.279299700795967	0.283238246404918	0.286657610963374	0.289566821190935	0.291998015851106	0.29401252315125	0.295661250566336	0.296959219612422	0.297963227710836	0.29874791270611	0.29932421752828	0.29975661999818	0.300055751639064	0.300275179836165	0.300427364327151	0.300531028345236	0.300601764294865	0.300649236107087	0.300682303713739	0.30070374479751	0.300719347108099	0.300731230040412	0.300739177404593	0.300745892177296	0.300749756857798	0.300752601560958	0.300753885274099	0.300754618172158	0.300755017167986	0.300755134978294	0.300755175663014	0.300755185900883	0.300755187869348	0.300755188185002	0.300755188238375	0.300755188250588	0.30075518825093	0.300755188250972	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973	0.300755188250973
"8"	0.0563026344723272	0.064075527427543	0.072528033990848	0.0816248074220374	0.0912951953372077	0.101454018538685	0.111991683383548	0.122813433127766	0.13381744792406	0.144818400327596	0.155764111504225	0.166505264990035	0.176982125060071	0.187046456569657	0.196679757172243	0.205851530276854	0.2145317175496	0.222696173815373	0.230321296525167	0.237431529130586	0.244031204127172	0.250080057115073	0.255626123410546	0.260612901031718	0.265107395420471	0.269070730846776	0.272516539612172	0.275479273935316	0.277972224992921	0.280061767785332	0.281766787234602	0.283121841554656	0.284191594210171	0.28501862170244	0.285640779653442	0.286102684196409	0.286438351315042	0.286676760195632	0.286845800003687	0.286962277382142	0.287040022418852	0.287093347626135	0.287131685128907	0.287156579601603	0.287173148423096	0.287186584963601	0.287195834492909	0.287202071597311	0.287207230094867	0.287210134770694	0.287212023746677	0.287213092929254	0.28721354024649	0.287213749539734	0.287213804428409	0.287213821003064	0.287213823938545	0.287213824925432	0.28721382503526	0.287213825058894	0.287213825060131	0.287213825060206	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209	0.287213825060209
"9"	0.0505988795797277	0.0577288885301385	0.0655075704419889	0.0739532754525341	0.0829590347153091	0.0924782466747852	0.102442575113224	0.112686691198537	0.123168854677192	0.13373045984759	0.144278023051861	0.154658939071495	0.164836537169444	0.174647703059995	0.184078106172106	0.193056006223845	0.201570104988079	0.209582548366712	0.217094054465282	0.22410549637677	0.23060640015088	0.236601164066035	0.242092159663372	0.247081305579406	0.251566999397098	0.255546776893271	0.259025773553748	0.262034454790843	0.264587645983275	0.266732600274926	0.268484216306917	0.269905163584389	0.271035023125513	0.271905656971208	0.27257875339528	0.273075234955155	0.273436931360361	0.273699326025006	0.273883669872933	0.274015221472965	0.274103617063996	0.274165378305263	0.274205048342664	0.274234113823734	0.274253182478586	0.274267481387882	0.274277527180998	0.274284996488156	0.274290206763334	0.274293887273876	0.274296267712221	0.274297369832702	0.274298016447812	0.274298304919553	0.274298423287079	0.274298450338709	0.274298459799882	0.274298462107588	0.274298462662922	0.274298462753216	0.274298462757305	0.274298462757848	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858	0.274298462757858
"10"	0.0454293809328118	0.051955351831398	0.0591217570860523	0.0669177978938522	0.0753045607895371	0.0842115317122034	0.0935482385487267	0.103263483948376	0.113218089095515	0.123330191057768	0.133465956690561	0.143488414219525	0.153351630985283	0.162916042170536	0.172116159204457	0.180904402729976	0.189234067359516	0.197119911952534	0.204507328795067	0.211392446013345	0.217798247953178	0.223733201012919	0.229166582234536	0.234127386512058	0.238600401256011	0.242587658234271	0.246106675088335	0.249147449258273	0.251760246464181	0.253951706737913	0.255767003850726	0.257248847952445	0.258433827685846	0.259357066568863	0.260064141466609	0.260599986122961	0.260991823209813	0.26127622525372	0.261481552284529	0.261624336116812	0.261725394087858	0.261794302287429	0.261840021191831	0.261871381434209	0.261892968981047	0.261908254932463	0.261919660292583	0.261927932803794	0.261934088096146	0.261938546266901	0.261941282494755	0.261942874722393	0.261943513284212	0.261943910915128	0.261944032511796	0.261944085043949	0.261944096921217	0.261944100648831	0.261944101511588	0.261944101654954	0.261944101660466	0.261944101662626	0.261944101662772	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781	0.261944101662781
