KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K04288.02,0.827,0.3795,9.0874933,0.0001162,2.0 
K04292.01,0.699,0.064,9.32807355,8.85e-05,1.0 
K04296.01,0.669,0.067,2.49384426,1.18e-05,1.0 
K04302.01,1.101,0.1919,5.53311602,6.52e-05,1.0 
K04304.01,1.263,0.0525,9.4060467,0.0001376,1.0 
K04312.01,1.177,0.057,7.84931739,9.46e-05,1.0 
K04335.01,0.964,0.047,7.61760804,4.33e-05,1.0 
K04343.01,1.5006,0.0485,27.2111385,0.0004354,1.0 
K04356.01,2.583,0.08,174.509835,0.001852,1.0 
K04366.01,1.103,0.092,0.762950944,3.19e-06,1.0 
K04374.01,0.989,0.0885,3.70385711,1.98e-05,1.0 
K04383.01,0.799,0.0655,4.34195123,2.83e-05,1.0 
K04385.01,1.624,0.2543,7.2981458,6.12e-05,1.0 
K04385.02,3.004,0.1795,386.370548,0.008591,2.0 
K04385.03,1.473,0.0855,17.3693373,0.0003566,3.0 
K04399.01,1.2469,0.0725,42.1005451,0.0001678,1.0 
K04400.01,0.828,0.06,2.20921951,1.51e-05,1.0 
K04409.01,1.013,0.131,14.2652558,0.000114,1.0 
K04411.01,1.06,0.2315,11.17931605,7.5e-05,1.0 
K04418.01,5.0301,0.179,333.03842,0.01064,1.0 
K04421.01,0.703,0.1236,4.72697256,8.43e-05,1.0 
K04441.01,1.4083,0.057,0.683684256,6.28e-07,1.0 
K04452.01,1.604,0.0675,12.8575945,0.0001225,1.0 
K04457.01,1.8452,0.076,79.332118,0.001995,1.0 
K04473.01,1.4296,0.9123,13.6473676,0.0002102,1.0 
K04480.01,2.2612,0.052,58.7483786,0.0004517,1.0 
K04505.01,1.156,0.1826,18.0072194,0.0002582,1.0 
K04557.01,1.28,0.112,5.7565044,3.65e-05,1.0 
K04561.01,2.903,0.2874,1.5184299,0.0001991,1.0 
K04580.01,1.153,0.2074,6.3042414,4.62e-05,1.0 
K04581.01,0.744,0.2498,6.0060784,0.0001657,1.0 
K04613.01,0.678,0.08,1.96227924,1.12e-05,1.0 
K04614.01,1.379,0.095,6.4547287,8.35e-05,1.0 
K04617.01,1.244,0.2295,27.4785572,0.0005078,1.0 
K04633.01,1.346,0.091,11.6934475,0.000184,1.0 
K04634.01,1.301,0.0695,4.02746055,2.09e-05,1.0 
K04651.01,0.723,0.0372,1.192598861,5.34e-06,1.0 
K04657.02,0.6638,0.049,10.43149238,7.63e-05,1.0 
K04659.01,1.199,0.1975,41.8673672,0.0008905,1.0 
K04674.01,0.965,0.092,4.84346849,4.28e-05,1.0 
K04686.01,1.284,0.096,11.8309999,0.0001949,1.0 
K04693.01,1.115,0.1866,23.6225913,0.000542,1.0 
K04706.01,1.4886,0.055,101.951829,0.001572,1.0 
K04716.01,0.746,0.0743,5.89435231,5.86e-05,1.0 
K04717.01,2.9147,0.1212,216.456212,0.005733,1.0 
K04725.01,0.7613,0.1325,7.28170196,3.07e-05,1.0 
K04745.01,2.187,0.1,177.669112,0.003872,1.0 
K04763.01,2.0211,0.083,56.447048,0.002276,1.0 
K04774.01,1.208,0.2007,51.5676874,0.0007342,1.0 
K04792.01,0.853,0.057,5.75903542,5.03e-05,1.0 
K04829.01,2.445,0.2796,22.884425,0.004975,1.0 
K04833.01,1.175,0.0775,4.31720867,6.97e-05,1.0 
K04850.01,0.787,0.2276,3.04188447,2.73e-05,1.0 
K04898.01,3.483,0.3137,409.87844,0.0233,1.0 
K04907.01,0.729,0.0855,4.04484897,8.8e-05,1.0 
K04961.01,1.9934,0.071,348.96347,0.03016,1.0 
K04978.01,2.6106,0.184,339.18998,0.01434,1.0 
K05021.01,3.099,0.0895,288.07937,0.003761,1.0 
K05085.01,2.85,0.062,327.063,0.01666,1.0 
K05135.01,2.1862,0.4105,314.765374,0.005622,1.0 
K05216.01,2.687,0.0665,377.311149,0.007296,1.0 
K05247.01,4.517,0.6225,282.0309,0.1416,1.0 
K05269.01,2.356,0.3152,371.50631,0.01167,1.0 
K05290.01,2.067,0.3485,435.50635,0.03899,1.0 
K05380.01,2.7424,0.3415,369.93355,0.02925,1.0 
K05423.01,2.995,0.3295,366.55705,0.01821,1.0 
K05612.01,2.6023,0.3015,353.65927,0.01369,1.0 
K05622.01,3.6521,0.622,469.63111,0.01246,1.0 
K05689.01,2.3967,0.1975,114.12716,0.00164,1.0 
K05706.01,4.065,0.184,425.47785,0.01122,1.0 
K05790.01,3.2808,0.4253,178.26391,0.002025,1.0 
K05798.01,1.912,0.2675,318.25858,0.01126,1.0 
K05850.01,4.196,0.3312,303.226376,0.002461,1.0 
K05852.01,5.308,0.4456,235.413973,0.00535,1.0 
K05855.01,3.912,0.9017,217.792092,0.002639,1.0 
K05877.01,2.664,0.3715,230.358183,0.004699,1.0 
K05888.01,1.724,0.3059,190.860818,0.004524,1.0 
K05929.01,5.95,0.36,466.003777,0.003357,1.0 
K05953.01,3.935,0.419,370.84786,0.0109,1.0 
K00984.01,2.29,0.7155,4.28746668,1.52e-05,1.0 
K06253.01,1.4,0.3704,27.556452,0.00293,1.0 
K00994.01,2.12,0.314,4.2989201,2.01e-05,1.0 
K00992.01,3.052,0.2605,9.93146307,5.19e-05,1.0 
K00992.02,1.824,0.719,4.57834367,6.38e-05,2.0 
K03145.01,1.66,0.5665,4.53702121,2.5e-05,1.0 
K03145.02,0.992,0.16,0.977311489,4.63e-06,2.0 
K04644.01,1.118,0.32,3.44928111,2.12e-05,1.0 
K01007.01,3.112,0.27,7.40742502,3.66e-05,1.0 
K04926.01,1.47,0.2165,69.089357,0.00237,1.0 
K06256.01,1.37,0.164,14.137062,0.000158,1.0 
K02351.01,1.611,0.15,10.27380957,5.93e-05,1.0 
K02634.01,2.42,0.095,19.9401211,0.000134,1.0 
K06259.01,1.066,0.1205,4.78113942,6.04e-05,1.0 
K06259.02,1.223,0.2895,7.18864064,7.76e-05,2.0 
K01029.01,4.388,0.135,32.3122867,0.000174,1.0 
K06262.01,1.226,0.16,0.673141323,2.14e-06,1.0 
K08085.01,2.539,0.101,419.2615,0.0293,1.0 
K07628.01,0.769,0.335,1.8134378,2.64e-05,1.0 
K04709.01,1.406,0.111,3.70858595,2.26e-05,1.0 
K06267.01,1.12,0.129,13.8911152,0.000202,1.0 
K02280.01,3.313,0.53,26.0203329,0.000187,1.0 
K00488.01,2.436,0.1335,9.3789167,2.17e-05,1.0 
K04655.01,1.15,0.279,17.543847,0.00102,1.0 
K04333.01,2.821,0.065,309.25581,0.015,1.0 
K07635.01,1.487,0.16,60.458443,0.0018,1.0 
K01031.01,2.727,0.16,14.5598556,0.000161,1.0 
K01976.01,2.057,0.476,12.12401737,3.2e-05,1.0 
K07636.01,0.73,0.3235,0.702739679,4.62e-06,1.0 
K00794.01,1.992,0.19,2.539183147,5.07e-06,1.0 
K01024.01,1.86,0.2215,5.747711909,7.49e-06,1.0 
K03077.01,1.64,0.1735,4.09578199,2e-05,1.0 
K03077.02,1.46,0.2675,7.55842923,8.6e-05,2.0 
K03053.01,2.807,0.1125,42.5217006,0.000594,1.0 
K03053.02,1.585,0.09,9.4767057,0.000167,2.0 
K01022.01,2.953,0.1185,18.82744023,7.93e-05,1.0 
K06291.01,0.84,0.08,8.8324193,0.00012,1.0 
K03459.01,1.75,0.125,13.2226149,0.000169,1.0 
K02489.01,2.779,0.11,3.92453009,1.67e-05,1.0 
K01094.01,2.59,0.292,6.10027621,1.62e-05,1.0 
K01942.01,2.67,0.189,10.84969477,2.78e-05,1.0 
K01942.02,1.66,0.2655,2.433703498,8.97e-06,2.0 
K01110.01,2.4,0.0805,8.7348852,4.43e-05,1.0 
K03416.01,1.25,0.31,11.8237228,0.000239,1.0 
K03259.01,2.137,0.3005,72.9332762,0.000808,1.0 
K02232.01,3.509,0.55,101.1323475,0.000588,1.0 
K02232.02,1.569,0.295,12.834857,0.000121,2.0 
K04857.01,1.673,0.18,4.11497357,4.46e-05,1.0 
K06299.01,0.67,0.202,0.947554749,4.03e-06,1.0 
K01788.01,5.105,0.18,71.52543938,9.47e-05,1.0 
K04849.01,0.62,0.182,3.19938075,2.6e-05,1.0 
K07641.01,1.36,0.2205,3.79437277,5.83e-05,1.0 
K02032.01,2.08,0.1415,14.07969236,3.1e-05,1.0 
K04389.01,1.27,0.1845,16.3368863,0.000168,1.0 
K02380.01,1.59,0.05,6.35705314,1.75e-05,1.0 
K02186.01,3.79,0.2315,14.97974335,6.33e-05,1.0 
K03483.01,2.416,0.07,82.331756,0.00198,1.0 
K04145.01,0.96,0.55,3.25424652,3.34e-05,1.0 
K04091.01,3.005,0.455,225.585245,0.00358,1.0 
K04395.01,1.216,0.265,1.920062587,8.52e-06,1.0 
K01112.01,3.735,0.33,37.8102649,0.000215,1.0 
K07644.01,0.772,0.43,3.39904814,4.61e-05,1.0 
K00795.01,2.77,0.2135,6.770300385,9.54e-06,1.0 
K01950.01,3.691,0.11,66.4159789,0.000363,1.0 
K02099.01,3.059,0.1975,78.0998908,0.000663,1.0 
K02490.01,1.88,0.1205,11.60653061,6.08e-05,1.0 
K02055.01,2.301,0.3195,8.67890312,2.38e-05,1.0 
K02055.02,1.605,0.091,4.02582434,1.27e-05,2.0 
K02055.03,1.329,0.305,2.50475282,1.14e-05,3.0 
K02055.04,1.521,0.3445,6.13074243,6.97e-05,4.0 
K07645.01,0.61,0.229,2.00870696,3.04e-05,1.0 
K03395.01,1.11,0.09,10.00506974,9.31e-05,1.0 
K03395.02,0.78,0.121,5.0395851,0.000118,2.0 
K04548.01,1.61,0.093,61.083322,0.00192,1.0 
K03068.01,0.832,0.082,3.91679553,2.6e-05,1.0 
K03068.02,0.84,0.229,6.65171459,5.75e-05,2.0 
K07648.01,0.8,0.0575,1.183505016,7.33e-06,1.0 
K02413.01,1.49,0.225,12.90467523,7.14e-05,1.0 
K02413.02,1.47,0.2,31.2012202,0.000349,2.0 
K03343.01,2.001,0.185,83.2664103,0.000675,1.0 
K02066.01,2.95,0.078,147.97391,0.00116,1.0 
K01106.01,2.315,0.075,7.42608123,1.88e-05,1.0 
K01106.02,1.516,0.065,15.9868932,0.000283,2.0 
K01106.03,1.5,0.06,13.2298203,0.000278,3.0 
K04347.01,0.99,0.06,3.0570982,2.16e-05,1.0 
K01101.01,1.67,0.157,11.39102358,8.86e-05,1.0 
K01101.02,1.9,0.1795,11.39110963,7.27e-05,2.0 
K06315.01,0.7,0.1335,5.32737192,5.67e-05,1.0 
K06318.01,1.26,0.1355,5.90260586,5e-05,1.0 
K01830.01,2.22,0.19,13.22714056,2.73e-05,1.0 
K01830.02,3.56,0.17,198.7106251,0.000712,2.0 
K01095.01,8.609,0.165,51.59809554,4.63e-05,1.0 
K02723.01,2.89,0.18,1.952711161,2.26e-06,1.0 
K03448.01,2.744,0.085,32.510844,0.00025,1.0 
K02444.01,2.53,0.135,18.5525162,0.000137,1.0 
K06331.01,1.549,0.135,5.8229815,0.000101,1.0 
K04977.01,1.18,0.215,25.5338535,0.000404,1.0 
K03415.01,1.77,0.744,15.0219784,0.000415,1.0 
K02288.01,4.08,0.498,38.103908,0.000226,1.0 
K04205.01,1.04,0.218,1.166960319,3.63e-06,1.0 
K04626.01,3.018,0.43,91.95723,0.00568,1.0 
K04986.01,1.48,0.2065,444.04257,0.0284,1.0 
K04988.01,2.276,0.105,484.172005,0.00831,1.0 
K03279.01,2.652,0.335,30.8278245,0.000316,1.0 
K02126.01,2.12,0.51,9.69310837,3.04e-05,1.0 
K04535.02,0.984,0.066,5.78901936,7.9e-05,1.0 
K04535.01,0.88,0.2425,9.8480917,0.000108,2.0 
K04991.01,2.09,0.275,211.330867,0.00747,1.0 
K04992.01,1.708,0.178,12.5747207,0.000127,1.0 
K01194.01,2.01,0.282,8.70798309,2.93e-05,1.0 
K01194.03,1.23,0.185,4.17634276,2.43e-05,2.0 
K04456.01,1.81,0.1135,7.4299322,0.000155,1.0 
K04307.01,3.41,0.105,160.850075,0.00376,1.0 
K00492.01,2.646,0.44,29.9111886,9.44e-05,1.0 
K00492.02,2.173,0.178,265.29617,0.0155,2.0 
K08242.01,1.46,0.105,331.55459,0.0138,1.0 
K03418.01,3.85,0.065,85.272459,0.00258,1.0 
K00804.01,2.797,0.305,9.02930689,1.65e-05,1.0 
K00242.01,5.53,0.65,7.258450123,3.9e-06,1.0 
K04999.01,2.0,0.138,65.752109,0.00193,1.0 
K02034.01,3.64,0.2785,3.609313059,7.61e-06,1.0 
K02034.02,1.444,0.1845,2.3702932,3.07e-05,2.0 
K01214.01,1.676,0.89,4.24153629,2.2e-05,1.0 
K06352.01,1.529,0.224,5.11683678,7.95e-05,1.0 
K03893.01,1.86,1.06,3.90863457,7.25e-06,1.0 
K02536.01,3.157,0.215,51.1319346,0.000437,1.0 
K03966.01,2.628,0.326,138.944022,0.00131,1.0 
K01207.01,2.71,0.1925,13.73474071,4.21e-05,1.0 
K06355.01,0.884,0.1575,4.37198905,4.86e-05,1.0 
K06355.02,0.976,0.172,6.72876606,8.73e-05,2.0 
K01212.01,2.193,0.155,11.30123036,7.53e-05,1.0 
K02308.01,2.55,0.512,28.5057217,0.000284,1.0 
K05004.01,2.427,0.141,103.363691,0.00227,1.0 
K03108.01,2.697,0.31,7.36272124,1.93e-05,1.0 
K04853.01,1.545,0.0935,17.7412303,0.000397,1.0 
K06104.01,2.38,0.1105,16.2480865,0.000163,1.0 
K06358.01,1.32,0.16,3.09383248,2.28e-05,1.0 
K04526.01,2.509,0.505,30.5392931,0.000483,1.0 
K04526.02,1.93,0.247,11.8187288,0.000115,2.0 
K00443.01,2.22,0.2495,16.21774917,2.71e-05,1.0 
K00229.01,8.653,0.1685,3.573202801,9e-07,1.0 
K07670.01,1.18,0.495,8.4795266,0.000354,1.0 
K04780.01,1.27,0.15,6.60180003,8.97e-05,1.0 
K03002.01,1.31,0.208,11.62904159,7.44e-05,1.0 
K01191.01,3.29,0.1805,8.17242644,2.68e-05,1.0 
K07676.01,0.653,0.375,5.3694084,0.000102,1.0 
K06372.01,1.11,0.701,71.008017,0.00306,1.0 
K00221.01,5.286,0.22,3.413036353,6.26e-07,1.0 
K00221.02,1.019,0.1475,5.89661966,4.59e-05,2.0 
K04084.01,2.308,0.2,214.881456,0.00392,1.0 
K04084.02,1.744,0.315,10.72900793,5.61e-05,2.0 
K04084.03,1.55,0.083,8.19619768,6.33e-05,3.0 
K00810.01,2.251,0.29,4.783002698,5.43e-06,1.0 
K04117.01,1.1,0.231,4.24263096,2.66e-05,1.0 
K02084.01,2.074,0.0675,4.19577385,1.57e-05,1.0 
K01760.01,1.898,0.1535,5.52418625,2.37e-05,1.0 
K01760.02,1.609,0.2465,8.77514782,6.13e-05,2.0 
K06375.01,0.97,0.19,2.90805147,5.23e-05,1.0 
K01881.01,2.469,0.1725,28.26727385,9.64e-05,1.0 
K02519.01,2.25,0.06,4.790912471,7.96e-06,1.0 
K07678.01,0.724,0.185,13.0914878,0.000128,1.0 
K00811.01,3.263,0.1335,20.50588921,3.21e-05,1.0 
K07679.01,0.729,0.13,1.8679943,1.02e-05,1.0 
K02013.01,0.97,0.18,2.41434868,4.23e-06,1.0 
K04570.01,2.13,0.132,35.0175053,0.000322,1.0 
K03066.01,2.1,0.095,24.2204192,0.000194,1.0 
K01329.01,2.484,0.071,33.1996355,0.00014,1.0 
K07681.01,0.973,0.25,6.05552018,6.37e-05,1.0 
K01328.01,5.04,0.0925,80.9669561,0.000121,1.0 
K04166.01,2.554,0.035,9.84262076,3.53e-05,1.0 
K01339.01,2.574,0.345,4.16811839,1.6e-05,1.0 
K05040.01,2.87,0.24,29.6094263,0.000307,1.0 
K04742.01,1.3,0.143,112.303136,0.00172,1.0 
K06108.01,1.776,0.1015,485.92297,0.0117,1.0 
K02117.01,1.84,0.7,13.36019864,5.96e-05,1.0 
K07685.01,1.35,0.2385,64.740274,0.00149,1.0 
K07685.02,1.08,0.3035,33.502923,0.00104,2.0 
K02210.02,3.23,0.59,210.631486,0.00151,1.0 
K02210.01,1.68,0.06,2.888904439,7.1e-06,2.0 
K02531.01,1.844,0.251,17.6997392,0.000108,1.0 
K02172.01,2.814,0.12,10.44087398,5.11e-05,1.0 
K02172.02,2.398,0.35,116.583183,0.00223,2.0 
K02998.01,3.342,0.275,28.227413,0.00015,1.0 
K05047.01,2.83,0.15,326.70552,0.0131,1.0 
K01934.01,2.11,0.08,28.78270955,9.17e-05,1.0 
K01337.01,1.257,0.164,1.922799706,4.69e-06,1.0 
K02311.03,1.39,0.481,104.3519624,0.000697,1.0 
K02216.01,2.432,0.2645,23.34036251,9.67e-05,1.0 
K02821.01,3.348,0.3335,79.2450351,0.000931,1.0 
K02134.01,2.534,0.81,42.3006282,0.000217,1.0 
K01895.01,1.87,0.1,8.45746636,3.05e-05,1.0 
K01895.02,2.04,0.0725,17.28116957,9e-05,2.0 
K04810.01,3.17,0.13,115.238544,0.00252,1.0 
K03324.01,2.514,0.2155,21.8634638,0.000302,1.0 
K06399.01,1.367,0.306,6.76890076,7.38e-05,1.0 
K01331.01,1.88,0.1605,6.80082032,2.28e-05,1.0 
K01325.01,4.631,0.16,10.03538181,6.48e-06,1.0 
K02652.01,2.94,0.175,16.1289679,0.000155,1.0 
K03258.01,2.398,0.41,40.3511707,0.000402,1.0 
K02166.01,3.078,0.2955,61.6174528,0.000357,1.0 
K04474.01,1.63,0.175,16.473474,0.000158,1.0 
K07693.01,1.259,0.175,6.41097179,8.07e-05,1.0 
K02942.01,2.123,0.372,13.84301228,9.08e-05,1.0 
K02942.02,2.412,0.555,24.2758992,0.000243,2.0 
K08246.01,1.733,0.26,425.64971,0.0202,1.0 
K02245.01,2.45,0.2325,33.4698571,0.000221,1.0 
K01656.01,3.62,0.21,51.3901452,0.000622,1.0 
K03878.01,2.792,0.147,70.9672087,0.000185,1.0 
K03878.02,1.42,0.1975,15.3573445,0.000106,2.0 
K02229.01,2.344,0.224,14.83340944,8.04e-05,1.0 
K04803.01,1.219,0.2105,4.36125889,3.54e-05,1.0 
K00814.01,2.32,0.555,22.36646466,9.76e-05,1.0 
K05067.01,2.3,0.54,219.931324,0.0067,1.0 
K02910.01,1.8,0.2045,15.3626052,0.000103,1.0 
K02024.01,2.62,0.145,46.8776724,0.000311,1.0 
K00223.01,2.65,0.1835,3.177414601,1.59e-06,1.0 
K00223.02,2.64,0.1055,41.0081117,0.000118,2.0 
K04506.01,1.28,0.27,5.60473115,5.1e-05,1.0 
K02855.01,1.262,0.215,1.400755743,3.28e-06,1.0 
K02691.01,3.052,0.205,97.4463194,0.000286,1.0 
K04491.01,2.653,0.29,114.336052,0.00382,1.0 
K04680.01,2.034,0.3,54.0812235,0.000941,1.0 
K03437.01,1.89,0.3,15.0330623,0.000188,1.0 
K03437.02,3.51,0.128,34.7496038,0.000563,2.0 
K01341.01,1.678,0.0805,4.51436096,1.37e-05,1.0 
K00816.01,5.803,0.2315,7.748094239,7.55e-06,1.0 
K02560.01,1.512,0.237,18.1209388,0.00018,1.0 
K03069.01,2.161,0.2035,43.1024434,0.000712,1.0 
K01996.01,1.67,0.317,10.13200555,3.18e-05,1.0 
K01996.02,0.84,0.655,7.07394528,6.36e-05,2.0 
K03330.01,1.15,0.102,16.2951259,0.000192,1.0 
K07703.01,1.96,0.641,413.51856,0.019,1.0 
K04649.01,1.403,0.139,3.38419892,2.49e-05,1.0 
K00497.01,3.343,0.2035,13.19322809,3.21e-05,1.0 
K00497.02,1.854,0.11,4.42535097,1.71e-05,2.0 
K06449.01,1.58,0.055,29.9315174,0.000702,1.0 
K07706.01,1.19,0.06,42.04952379,nan,1.0 
K01475.01,1.57,0.415,1.609321941,3.04e-06,1.0 
K01475.02,1.99,0.15,9.51220046,3.21e-05,2.0 
K01475.03,1.22,0.1975,4.72941177,3.08e-05,3.0 
K01959.01,2.55,0.121,36.5157639,0.000107,1.0 
K05088.01,2.252,0.355,49.1782244,0.000832,1.0 
K01660.01,1.99,0.12,35.6364022,0.000372,1.0 
K02739.01,3.0,0.075,10.10773789,4.79e-05,1.0 
K02739.02,1.812,0.09,7.0956395,0.000119,2.0 
K04813.01,0.82,0.055,9.2294726,0.000138,1.0 
K03469.01,1.91,0.12,60.532988,0.000456,1.0 
K02900.01,2.08,0.249,46.151253,0.000375,1.0 
K00499.01,1.799,0.325,9.66857386,1.9e-05,1.0 
K01884.02,1.748,0.205,4.77502117,1.78e-05,1.0 
K03061.01,2.33,0.169,7.32851947,2.31e-05,1.0 
K01602.01,2.611,0.07,9.97716876,8.02e-05,1.0 
K01602.02,1.606,0.35,3.03359398,3.56e-05,2.0 
K05098.01,1.57,0.255,100.345648,0.0013,1.0 
K05099.01,1.51,0.2565,111.187116,0.0025,1.0 
K02617.01,1.347,0.166,8.63050092,6.58e-05,1.0 
K01973.01,1.49,0.155,3.290114076,6.23e-06,1.0 
K05104.01,1.63,0.1925,21.1579573,0.00035,1.0 
K04766.01,0.988,0.1405,5.56676609,3.04e-05,1.0 
K06475.01,1.54,0.095,4.84505985,3.19e-05,1.0 
K02899.01,1.844,0.46,5.77207177,4.13e-05,1.0 
K07711.01,1.31,0.1365,302.779824,0.00959,1.0 
K00501.01,2.7,0.125,24.7962801,0.000107,1.0 
K06484.01,1.447,0.305,16.1191449,0.000338,1.0 
K04524.01,1.53,0.075,7.99144696,6.55e-05,1.0 
K04524.02,0.854,0.06,4.52628739,5.03e-05,2.0 
K04524.03,1.2,0.197,3.33930957,2.5e-05,3.0 
K02237.01,2.936,0.23,76.421501,0.00132,1.0 
K00821.01,2.866,0.385,21.81295996,7.23e-05,1.0 
K05117.01,1.801,0.192,33.3726538,0.000548,1.0 
K01573.01,5.389,0.175,24.81097206,1.93e-05,1.0 
K01573.02,1.755,0.067,7.136922,1.63e-05,2.0 
K06511.01,1.801,0.135,27.122801,0.00101,1.0 
K04202.01,2.483,0.222,153.979362,0.00173,1.0 
K04127.01,1.643,0.2475,8.82715783,7.38e-05,1.0 
K01801.01,2.626,0.2005,14.5324483,9.63e-05,1.0 
K07715.01,1.581,0.41,25.8616058,0.000857,1.0 
K04116.01,1.33,0.1425,0.783258387,3.47e-06,1.0 
K06516.01,0.88,0.233,11.2901559,0.000614,1.0 
K07716.01,1.27,0.2325,483.36405,0.0498,1.0 
K02435.01,2.6,0.142,6.80243431,6.38e-05,1.0 
K08253.01,0.95,0.23,400.11482,0.0499,1.0 
K02878.01,1.13,0.2135,3.89524296,1.75e-05,1.0 
K04428.01,1.28,0.1145,13.00291716,7.48e-05,1.0 
K04208.01,1.23,0.1,3.05772668,2.05e-05,1.0 
K06532.01,1.5,0.175,0.813998812,2.28e-06,1.0 
K02532.01,2.27,0.47,7.9709719,2.18e-05,1.0 
K01564.01,5.82,0.085,53.44944498,6.7e-05,1.0 
K02719.01,1.93,0.065,4.11585514,1.16e-05,1.0 
K02719.02,1.5,0.23,106.25976,0.00261,2.0 
K02693.01,1.0,0.075,4.081411554,8.9e-06,1.0 
K02693.03,1.01,0.1795,6.83440674,1.92e-05,2.0 
K02693.02,0.99,0.25,11.41941928,4.97e-05,3.0 
K03323.01,2.304,0.995,14.3196417,0.000144,1.0 
K01671.01,0.993,0.165,1.480283464,6.17e-06,1.0 
K02883.01,2.1,0.13,11.95401876,7.57e-05,1.0 
K04713.01,1.36,0.05,8.7963166,0.000107,1.0 
K05142.01,3.202,0.05,198.895864,0.00294,1.0 
K03368.01,1.585,0.05,10.08535311,6.22e-05,1.0 
K01672.01,2.31,0.204,33.8677783,0.000167,1.0 
K07558.01,0.94,0.058,10.1551587,0.00015,1.0 
K00826.01,2.706,0.165,6.365839713,8.06e-06,1.0 
K03274.01,2.3,0.0,35.6225528,0.000543,1.0 
K05149.01,1.33,0.3265,43.681309,0.00201,1.0 
K01593.01,2.033,0.1625,9.69501146,4.66e-05,1.0 
K01593.02,2.083,0.17,15.3825394,0.000114,2.0 
K03463.01,1.42,0.265,32.5474295,0.000521,1.0 
K04750.01,1.93,0.335,36.721576,0.00131,1.0 
K01562.02,2.25,0.246,20.0679247,0.000276,1.0 
K00503.01,2.28,0.255,8.22241355,1.05e-05,1.0 
K02666.01,3.47,0.2095,64.034363,0.00104,1.0 
K02297.01,1.55,0.2155,4.64495172,2.57e-05,1.0 
K04467.01,1.663,0.335,2.94242323,1.46e-05,1.0 
K04591.01,1.401,0.335,1.80926734,2.26e-05,1.0 
K06130.01,1.05,0.435,1.54287434,3.69e-06,1.0 
K04558.01,1.894,0.1,8.8233996,0.000154,1.0 
K02471.01,1.66,0.56,25.8859397,0.000241,1.0 
K02835.01,1.37,0.129,6.30922043,1.72e-05,1.0 
K03141.01,1.24,0.174,2.31941571,1.6e-05,1.0 
K05169.01,1.72,0.1495,21.3684341,0.000134,1.0 
K06579.01,1.408,0.075,2.6528082,3.43e-05,1.0 
K04508.01,1.02,0.1755,2.49915311,1.53e-05,1.0 
K00504.01,2.253,0.125,40.606895,0.000189,1.0 
K01585.01,2.984,0.11,19.17893976,8.06e-05,1.0 
K01599.01,2.9,0.2,20.4074846,0.000313,2.0 
K03050.01,1.194,0.2,1.242639742,5.78e-06,1.0 
K04541.01,1.496,0.169,8.5291223,8.34e-05,1.0 
K04541.02,1.426,0.08,17.236085,0.000224,2.0 
K02990.01,1.7,0.2895,11.20058855,7.69e-05,1.0 
K01838.01,2.73,0.253,16.7364755,0.00014,1.0 
K01677.01,2.924,0.59,52.069002,0.000196,1.0 
K05176.01,1.484,0.1105,215.732414,0.00577,1.0 
K02587.01,1.13,0.129,12.9462567,0.000293,1.0 
K02160.01,2.89,0.1255,17.6700291,0.000123,1.0 
K04495.01,1.949,0.315,5.93218209,6e-05,1.0 
K03377.01,0.99,0.12,10.0100312,4.72e-05,1.0 
K02664.01,2.66,0.184,28.8431751,0.000271,1.0 
K03309.01,5.91,0.2165,71.05457555,5.19e-05,1.0 
K06600.01,0.744,0.195,2.70581614,1.58e-05,1.0 
K06601.01,2.216,0.485,17.9925973,0.000173,1.0 
K02337.01,2.14,0.206,8.49640437,2.91e-05,1.0 
K02834.01,2.35,0.09,136.205112,0.00138,1.0 
K03206.01,1.38,0.3,15.1516409,0.000198,1.0 
K03341.01,2.13,1.015,27.0965146,0.000488,1.0 
K03341.02,2.167,0.0735,11.5474983,0.000164,2.0 
K04705.01,1.03,0.2585,1.4733245,1.02e-05,1.0 
K04194.01,1.29,0.22,1.538185321,7.01e-06,1.0 
K04837.01,0.86,0.195,5.38613715,4.89e-05,1.0 
K04827.01,1.927,0.0,31.1920226,0.000264,1.0 
K08257.01,0.54,0.385,9.4609418,0.000272,1.0 
K04587.01,1.763,0.195,6.36283414,8.12e-05,1.0 
K04097.01,0.99,0.215,2.790643481,4.44e-06,1.0 
K02856.01,2.564,0.145,25.8730914,0.000146,1.0 
K05192.01,1.016,0.09,50.55398,0.00139,1.0 
K06617.01,0.9,0.193,8.0018897,0.000105,1.0 
K02091.01,2.12,0.085,8.77997349,3.19e-05,1.0 
K01908.01,1.34,0.207,12.55111099,3.53e-05,1.0 
K01908.02,1.16,0.08,24.0884178,0.000176,2.0 
K03396.01,1.82,0.229,36.2580749,0.000501,1.0 
K04124.01,0.962,0.092,2.43142974,2.59e-05,1.0 
K02189.01,4.44,0.17,33.35859852,8.67e-05,1.0 
K00557.01,2.119,0.23,15.65563866,3.21e-05,1.0 
K02802.01,1.679,0.065,3.84822189,1.66e-05,1.0 
K01005.01,5.17,0.055,35.61760233,5.29e-05,1.0 
K00506.01,3.475,0.29,1.583160478,8.28e-07,1.0 
K03916.01,1.987,0.1015,5.33905606,1.21e-05,1.0 
K04259.01,0.756,0.475,0.909127736,4.05e-06,1.0 
K00413.01,3.038,0.162,15.22895514,2.09e-05,1.0 
