KOI,pRad,pRad_err,pPer,pPer_err,pNum 
id,earth_rad,earth_rad,days,days,int 
K02183.03,2.1658,0.2105,150.379456,0.004218,3.0 
K02188.02,0.7465,0.103,6.7445683,0.0005696,1.0 
K02194.02,2.307,0.3249,67.9687026,0.0007043,1.0 
K02194.01,2.1968,0.2687,34.7629923,0.0002929,2.0 
K02194.03,1.851,0.1027,445.22912,0.01568,3.0 
K02202.01,1.042,0.1245,0.813166719,1.25e-06,1.0 
K02208.01,0.9513,0.3264,2.344511944,5.35e-06,1.0 
K02218.01,2.166,0.139,5.53532955,1.93e-05,1.0 
K02218.02,1.3356,0.057,16.726052,0.0002028,2.0 
K02219.01,1.2596,0.1186,3.757291599,6.28e-06,1.0 
K02220.03,1.574,0.123,1.897834018,6.94e-06,1.0 
K02220.02,1.849,0.144,5.02818614,2.02e-05,2.0 
K02220.01,1.627,0.1145,3.28280266,1.33e-05,3.0 
K02220.04,1.459,0.097,7.66464553,8.99e-05,4.0 
K02220.05,1.607,0.1105,11.9294568,0.000124,5.0 
K02236.01,3.2882,0.099,19.9866157,0.00013,1.0 
K02236.02,1.7648,0.106,12.12582991,7.57e-05,2.0 
K02246.01,1.262,0.1245,11.89520511,6.5e-05,1.0 
K02248.01,1.5676,0.4802,2.818150106,7.36e-06,1.0 
K02248.02,1.157,0.1708,9.4907638,0.0001004,2.0 
K02248.04,1.1333,0.072,2.64622695,1.44e-05,3.0 
K02250.01,2.489,0.1419,2.935359333,4.52e-06,1.0 
K02250.02,1.6167,0.1205,0.626281378,9.37e-07,2.0 
K02261.01,1.089,0.1207,3.97599768,1.09e-05,1.0 
K02261.02,0.832,0.211,6.6254781,0.0001742,2.0 
K02273.01,0.944,0.1378,6.11009134,2.81e-05,1.0 
K02278.01,2.642,0.061,14.17220432,6.28e-05,1.0 
K02278.02,1.306,0.159,4.92031217,3.11e-05,2.0 
K02279.01,2.016,0.0685,27.0141783,0.0001417,1.0 
K02279.02,1.558,0.2525,12.5094525,0.0001127,2.0 
K02281.01,0.879,0.08,0.7698536,1.21e-06,1.0 
K02287.01,1.049,0.1105,16.09231474,5.72e-05,1.0 
K02287.02,0.7178,0.111,28.9059687,0.0002184,2.0 
K02289.01,2.338,0.146,62.7845002,0.0004146,1.0 
K02289.02,1.618,0.154,20.0984215,0.000119,2.0 
K02290.01,1.771,0.0698,91.5009237,0.0005289,1.0 
K02295.01,0.6103,0.1265,16.29081738,8.38e-05,1.0 
K02300.01,1.255,0.091,2.685057492,4.1e-06,1.0 
K02331.01,1.521,0.1015,2.832652134,9.03e-06,1.0 
K02333.01,1.285,0.0541,3.930871,2.35e-05,1.0 
K02333.02,1.3273,0.1094,7.63006848,4.13e-05,2.0 
K02335.01,1.6184,0.088,16.22371307,8.87e-05,1.0 
K02339.01,1.118,0.0745,2.03231845,3.75e-06,1.0 
K02342.01,1.1556,0.153,15.0447198,0.0001084,1.0 
K02357.01,1.859,0.1525,2.42087351,1.29e-05,1.0 
K02357.02,3.0198,0.082,15.9042292,0.0001099,2.0 
K02365.01,2.3627,0.1442,35.9682344,0.00016,1.0 
K02365.02,1.67,0.169,110.97378,0.002921,2.0 
K02367.01,1.361,0.4253,6.89208596,2.9e-05,1.0 
K02369.01,3.16,0.3516,11.01816836,7.98e-05,1.0 
K02369.02,1.608,0.1145,6.3143447,0.0001132,2.0 
K02372.01,1.595,0.086,5.34982412,2.66e-05,1.0 
K02374.01,1.74,0.402,5.26212693,3.15e-05,1.0 
K02374.02,2.0228,0.2325,12.16281552,5.65e-05,2.0 
K02389.01,1.742,0.1745,22.9221266,0.0002337,1.0 
K02393.02,1.131,0.2205,0.766689534,1.48e-06,1.0 
K02393.01,1.221,0.2481,4.602996,1.92e-05,2.0 
K02399.01,0.766,0.231,1.916944254,6.11e-06,1.0 
K02407.01,2.457,0.0675,17.2923453,0.0001187,1.0 
K02408.01,2.1333,0.0795,94.2887577,0.0005873,1.0 
K02409.01,1.456,0.0495,0.577369579,4.09e-07,1.0 
K02414.01,1.946,0.2555,22.5965999,0.0002138,1.0 
K02414.02,1.8041,0.29,45.3485277,0.0003371,2.0 
K02422.01,1.462,0.071,26.7839183,0.0001786,1.0 
